title,author,year
The fabulous riverboat,Philip José Farmer,1971
Science fiction,Patrick Parrinder,1979
How to Write Science Fiction & Fantasy,Orson Scott Card,1990
Axiomatic,Greg Egan,1995
Ringworld,Larry Niven,1970
The Wesleyan anthology of science fiction,Arthur B. Evans,2010
Survivor,Octavia E. Butler,1978
Who Goes There?,John W. Campbell,1948
"The Best from Fantasy and Science Fiction (series, needs splitting)",Edward L. Ferman,1973
Neuromancer,William Gibson,1984
The Forever War,Joe Haldeman,1974
The Big Book of Science Fiction,Ann VanderMeer,2016
Youth,Isaac Asimov,2010
How to live safely in a science fictional universe,Charles Yu,2010
Lord of Light,Roger Zelazny,1967
Rite of Passage,Alexei Panshin,1968
Ubik,Philip K. Dick,1969
Quarantine,Greg Egan,1992
The Science Fiction Hall of Fame -- Volume Two A,Ben Bova,1973
Midworld,Alan Dean Foster,1975
Pebble in the Sky,Isaac Asimov,1950
Science Fiction. The Great Years,Carol Pohl,1973
Science Fiction Hall of Fame--Volume Two B,Ben Bova,1973
Isaac Asimov's Masters of Science Fiction,George H. Scithers,1978
Consider Phlebas,Iain Banks,1987
The Norton Book of Science Fiction,Ursula K. Le Guin,1993
"Science fiction, science fact",Isaac Asimov,1989
Triton,Samuel R. Delany,1976
Earth is Room Enough,Isaac Asimov,1957
Science Fiction Bestiary,Robert Silverberg,1971
Science Fiction,Patricia S. Warrick,1988
Stranger in a Strange Land,Robert A. Heinlein,1961
Asimov on science fiction [55 essays],Isaac Asimov,1981
Science Fiction,Adam Roberts,2000
Omnibus of science fiction,"Conklin, Groff",1952
Eon,Greg Bear,1985
Dragondrums,Anne McCaffrey,1979
Science Fictions,Stuart Ritchie,2020
The 13 crimes of science fiction,Isaac Asimov,1979
Walking the clouds,Grace L. Dillon,2012
"The Best Science Fiction and Fantasy of the Year, Volume Three",Jonathan Strahan,2009
City,Clifford D. Simak,1952
Tunnel in the sky,Robert A. Heinlein,1955
Fifty short science fiction tales,Isaac Asimov,1963
Masterpieces,Orson Scott Card,2001
Machines That Think,Isaac Asimov,1984
The mammoth encyclopedia of science fiction,George Mann,2001
Eye,Frank Herbert,1985
Galaxy,Frederik Pohl,1980
Deus Irae,Philip K. Dick,1976
"Tomorrow, the Stars",Robert A. Heinlein,1952
The Sentinel,Arthur C. Clarke,1983
"The Gray Prince, A Science Fiction Novel",Jack Vance,1974
The Mammoth Book of Golden Age Science Fiction,Isaac Asimov,1989
Inconstant moon,Larry Niven,1900
Dragonsinger,Anne McCaffrey,1977
The Science Fictional Solar System,Isaac Asimov,1979
The Year's Best Science Fiction - Sixteenth Annual Collection,Gardner R. Dozois,1999
Microcosmic Tales,Isaac Asimov,1980
Dies the fire,S. M. Stirling,2005
13 great stories of science fiction,"Conklin, Groff",1960
Dying Inside,Robert Silverberg,1972
Vanishing Acts,Ellen Datlow,2000
The Martian Way and Other Stories,Isaac Asimov,1955
Baker's dozen -- 13 short science fiction novels,Charles G. Waugh,1985
Schismatrix Plus,Bruce Sterling,1996
Whipping Star,Frank Herbert,1970
Amazing stories,Isaac Asimov,1985
Before the Golden Age,Isaac Asimov,1974
Second Foundation,Isaac Asimov,1953
The End of Eternity,Isaac Asimov,1955
The Dosadi Experiment,Frank Herbert,1977
Microworlds,Stanisław Lem,1984
Writing science fiction and fantasy,Gardner R. Dozois,1991
Nightfall two,Isaac Asimov,1970
The best science fiction of Isaac Asimov,Isaac Asimov,1986
Radio Free Albemuth,Philip K. Dick,1985
Octavia's Brood,Walidah Imarisha,2015
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1997
"Tom Sawyer, Detective",Mark Twain,1897
Dirk Gently’s Holistic Detective Agency,Douglas Adams,1987
"Encyclopedia Brown, Boy Detective",Donald J. Sobol,1963
Detection Unlimited,Georgette Heyer,1953
Detective,Arthur Hailey,1997
Caius ist ein Dummkopf,Henry Winterfeld (Manfred Michael),1956
Emil und die Detektive,Erich Kästner,1930
Los detectives salvajes,Roberto Bolaño,1998
"Judy Moody, Girl Detective",Megan McDonald,2010
Detective stories,Philip Pullman,1998
Freddy the detective,Walter R. Brooks,1932
After the fact,James West Davidson,1981
Busman's honeymoon,Dorothy L. Sayers,1937
"Friday Barnes, Girl Detective",R. A. Spratt,2014
The Berenstain Bears,Stan Berenstain,1975
The last detective,Peter Lovesey,1991
The Hardy boys detective handbook,Franklin W. Dixon,1959
The detective,Roderick Thorp,1656
Parker Pyne Investigates,Agatha Christie,1933
Best Detective Stories of Agatha Christie,Agatha Christie,1986
No Roses For Sharon,Peggy Oppong,2003
The female detective,Andrew Forrester,2012
Spy the lie,Philip Houston,2012
Detective camp,Ron Roy,2006
Murder Most unladylike,Robin Stevens,2014
The last detective,Robert Crais,2003
Detective Cross,James Patterson,2017
The Fallacy Detective,Nathaniel Bluedorn,2003
Insect detective,Steve Voake,2010
Framed,Carolyn Keene,2005
The Moving Toyshop,Edmund Crispin,1946
"Tom Sawyer Abroad, Tom Sawyer Detective and Other Stories Etc. Etc.",Mark Twain,1896
"Nancy Drew, girl detective",Stefan Petrucha,2005
Detection by Gaslight,Douglas G. Greene,1997
Detective's handbook,Anne Civardi,1979
A Double Barrelled Detective Story,Mark Twain,1902
The Floating Admiral,The Detection Club,1931
Detective LaRue,Mark Teague,2004
The Detective Dog,Julia Donaldson,2016
Detective Dinosaur,James Skofield,1996
Nothing Ventured,Jeffrey Archer,2019
The Longman anthology of detective fiction,Deane Mansfield-Kelley,2005
Case for Three Detectives,Leo Bruce,1937
"Johannes Cabal, the detective",Jonathan L. Howard,2010
The Art of Detection,Laurie R. King,2006
2 Sisters Detective Agency,James Patterson,2021
Radiation detection and measurement,Glenn F. Knoll,1979
Hunted Down,Charles Dickens,1996
The medical detectives,Berton Roueché,1900
The Final Solution,Michael Chabon,1999
The Great Detective Race,Gertrude Chandler Warner,2008
Murder Must Advertise,Dorothy L. Sayers,1933
"Nate the Great, San Francisco detective",Marjorie Weinman Sharmat,2000
The manual of detection,Jedediah Berry,2009
The Best Detective,Carolyn Keene,1995
Agatha Christie's Detectives (Dead Man's Folly / Murder at the Vicarage / N or M? / Sad Cypress / Towards Zero),Agatha Christie,1982
The Adventure of the Dying Detective,Arthur Conan Doyle,1991
The expressman and the detective,Allan Pinkerton,1874
William-the Detective,Richmal Crompton,1935
Six suspects,Vikas Swarup,2008
Glennkill,Leonie Swann,2005
The fairy-tale detectives (Sisters Grimm #1),Michael Buckley,2005
Father Brown,Gilbert Keith Chesterton,1937
Partial discharge detection in high-voltage equipment,F. H. Kreuger,1989
You be the detective,Marvin Miller,1991
"Big Tracks, Little Tracks",Millicent E. Selsam,1958
Quarry,Bill Pronzini,1992
Forensic detective,"Mann, Robert W.",2006
My Private Detective (Count on a Cop),Rebecca Winters,2001
Encyclopedia Brown,Donald J. Sobol,1976
"The Experiences of Loveday Brooke, Lady Detective",Catherine Louisa Pirkis,1986
Best Detective Stories of Cyril Hare,Cyril Hare,1959
Mortal consequences,Julian Symons,1956
Talking about detective fiction,P. D. James,2009
Fourteen Great Detective Stories,Vincent Starrett,1928
Four Max Carrados Detective Stories,Ernest Bramah,2005
Below Suspicion (Gideon Fell Mystery Series),John Dickson Carr,1949
Detecting Lies and Deceit,Aldert Vrij,2000
Masterpieces in Miniature - The Detectives,Agatha Christie,2005
Snake Agent,Liz Williams,2006
The Eye of Osiris,R. Austin Freeman,1911
The Detective Story,Saul Schwartz,1975
"Anisha, Accidental Detective",Serena Patel,2020
Data Detective,Tim Harford,2021
"Malcolm Sage, Detective Illustrated",Herbert George Jenkins,2020
The detective wore silk drawers,P Lovesey,1971
The Automatic Detective,A. Lee Martinez,2008
Miss Pinkerton,Mary Roberts Rinehart,1932
In the Company of Cheerful Ladies (No. 1 Ladies Detective Agency (Audio)),Alexander McCall Smith,2004
The Other Daughter,Lisa Gardner,1999
The detective's assistant,Kate Hannigan,2015
Kamogawa Food Detectives,Hisashi Kashiwai,2023
Precious and Grace (No. 1 Ladies' Detective Agency),Alexander McCall Smith,2016
Crime & detection,Brian Lane,1998
The rasp,Philip MacDonald,1924
名探偵コナン 特別編 15,青山 剛昌 [Gōshō Aoyama],1997
Tears of the Giraffe (No. 1 Ladies Detective Agency,Alexander McCall Smith,2000
Dressed to steal,Carolyn Keene,2007
The Heir,Johanna Lindsey,2000
Under Your Scars,Ariel Anderson,2023
Undaunted,Diana Palmer,2017
Contact,Carl Sagan,1985
Captive in the Underworld,Lianyu Tan,2020
A natural history of the romance novel,Pamela Regis,2003
Because I Need You,Claire Contreras,2022
Flatland,Edwin Abbott Abbott,1884
Heart of Desire,Liana Tiamzon,2023
Lilith,George MacDonald,1895
Lights Out,Navessa Allen,2024
Phantastes,George MacDonald,1850
November 9,Colleen Hoover,2015
A Little Bit Pregnant,Susan Mallery,2003
Hang the Moon,Alexandria Bellefleur,2021
Confess,Colleen Hoover,2015
